;OSEBuildingID;DataYear;BuildingType;PrimaryPropertyType;PropertyName;Address;City;State;ZipCode;TaxParcelIdentificationNumber;CouncilDistrictCode;Neighborhood;Latitude;Longitude;YearBuilt;NumberofBuildings;NumberofFloors;PropertyGFATotal;PropertyGFAParking;PropertyGFABuilding(s);ListOfAllPropertyUseTypes;LargestPropertyUseType;LargestPropertyUseTypeGFA;ENERGYSTARScore;SiteEUI(kBtu/sf);SiteEUIWN(kBtu/sf);SourceEUI(kBtu/sf);SourceEUIWN(kBtu/sf);SiteEnergyUse(kBtu);SiteEnergyUseWN(kBtu);SteamUse(kBtu);Electricity(kWh);Electricity(kBtu);NaturalGas(therms);NaturalGas(kBtu);DefaultData;ComplianceStatus;TotalGHGEmissions;GHGEmissionsIntensity
1441;21813;2016;Multifamily LR (1-4);Low-Rise Multifamily;8501 Crown Hill;8501 12th Avenue;Seattle;WA;98103;2285450000;6;BALLARD;47.6909;-122.37175;1980;1;4;45421;0;45421;Multifamily Housing;Multifamily Housing;41595;90;22.5;25.10000038;63.5;70.40000153;937054.1875;2.628810411;0;232414.7031;792999;1440.550049;144055;FALSE;Compliant;13.18;0.29
1443;21824;2016;Multifamily LR (1-4);Low-Rise Multifamily;ELDORADO THE CONDOMINIUM;3630 26TH PL W;Seattle;WA;98199;2296600000;7;MAGNOLIA / QUEEN ANNE;47.65314;-122.38918;1973;1;4;60601;0;60601;Multifamily Housing, Parking;Multifamily Housing;48306;95;19.10000038;20.60000038;60.09999847;64.69999695;924073;2.625408422;0;270830.3125;924073;0;0;FALSE;Compliant;6.44;0.11
1445;21826;2016;Multifamily LR (1-4);Low-Rise Multifamily;ElDorado IV Condo;3661 24th Pl W;Seattle;WA;98199;2296640000;7;MAGNOLIA / QUEEN ANNE;47.65324;-122.38855;1970;1;4;29222;0;29222;Multifamily Housing;Multifamily Housing;28000;54;28.39999962;30.60000038;89.30000305;96;796351.125;2.614466447;0;233397.0938;796351;0;0;FALSE;Compliant;5.55;0.19
1447;21836;2016;Multifamily LR (1-4);Low-Rise Multifamily;Watermarke Apartments LLC;4213 Stone Way N;Seattle;WA;98103;2306400085;4;LAKE UNION;47.65875;-122.34274;1989;1;4;61227;0;61227;Multifamily Housing, Parking;Multifamily Housing;44674;93;25.60000038;27;80.30000305;84.69999695;1141763.75;2.639236733;0;334631.8125;1141764;0;0;FALSE;Compliant;7.96;0.13
1448;21838;2016;Multifamily MR (5-9);Mid-Rise Multifamily;Elliott Bay Condominium;524 6th Ave W;Seattle;WA;98119;2313980000;7;MAGNOLIA / QUEEN ANNE;47.62418;-122.3642;1997;1;5;30236;0;30236;Multifamily Housing, Parking;Multifamily Housing;30236;65;31.5;32.59999847;98.80000305;102.5;951675.5;2.624831138;0;278920.0938;951675;0;0;FALSE;Compliant;6.63;0.22
1449;21839;2016;Multifamily MR (5-9);Mid-Rise Multifamily;GRIFFIS BELLTOWN APARTMENTS;2400 ELLIOTT AVE;Seattle;WA;98121;653000026;7;DOWNTOWN;47.61322;-122.34984;1990;1;5;320651;0;320651;Multifamily Housing, Parking;Multifamily Housing;214625;50;33.90000153;35.90000153;94.19999695;98.80000305;7286313.5;2.763659746;0;1762815.625;6014727;12715.86035;1271586;FALSE;Compliant;109.46;0.34
1450;21852;2016;Multifamily LR (1-4);Low-Rise Multifamily;Embassy Row Condo HOA;2350 10th Ave E;Seattle;WA;98102;2329200000;3;EAST;47.64079;-122.31972;1985;1;3;45235;38;45197;Multifamily Housing;Multifamily Housing;45235;61;21.70000076;23.10000038;68.09999847;72.5;980773.375;2.628914521;0;287448.1875;980773;0;0;FALSE;Compliant;6.84;0.15
1451;21859;2016;Multifamily MR (5-9);Mid-Rise Multifamily;Epic Condominium;412 11th Avenue;Seattle;WA;98122;2363000000;3;EAST;47.60573;-122.31782;2002;1;6;65604;0;65604;Multifamily Housing;Multifamily Housing;65604;88;25.89999962;26.79999924;81.30000305;84.09999847;1697909.625;2.665749758;0;497628.8125;1697910;0;0;FALSE;Compliant;11.84;0.18
1452;21860;2016;Multifamily MR (5-9);Mid-Rise Multifamily;53236 - Equinox Apartments;1524 Eastlake Avenue East;Seattle;WA;98102;2366500000;4;LAKE UNION;47.633;-122.32507;2009;1;8;322771;109495;213276;Multifamily Housing, Parking;Multifamily Housing;200601;89;43.20000076;43.90000153;95.09999847;95.80000305;8669367;2.771993551;0;1397777.125;4769216;39001.51172;3900151;FALSE;Compliant;240.39;0.74
1453;21862;2016;Multifamily HR (10+);High-Rise Multifamily;Escala;1920 4th Ave;Seattle;WA;98101;2382000000;7;DOWNTOWN;47.61296;-122.33926;2010;1;31;480789;0;480789;Multifamily Housing, Parking, Retail Store;Multifamily Housing;581843;86;33.5;36;77;80.09999847;19897354;2.825958758;0;3477144.5;11864017;80333.35938;8033336;FALSE;Compliant;509.36;1.06
